PRODUCTNO,LOCATION
1026963-00-B,SU5-11000
1026984-00-B,SH1-00400
1026992-00-B,DT1-10200
1026993-00-B,DT1-10200
1027121-00-A,AS-BK-RT-25
1027170-00-A,AS-BK-RT-25
1027220-00-A,TSUSHO
1027220-00-B,TSUSHO
1027230-00-A,TSUSHO
1027230-00-B,TSUSHO
1027240-00-B,TSUSHO
1027250-00-B,TSUSHO
1027260-00-B,TSUSHO
1027270-00-B,TSUSHO
1027662-00-B,AS-SF2-010-W
1028039-00-B,SU5-11000
1028043-00-F,AS-BK-RT-25
1028046-00-D,AS-FL-130-E
1028046-00-D,AS-KT1-130-W
1028049-00-E,AS-T01-SA1-1
1028050-00-C,AS-T01-SA1-1
1028057-00-B,SU3-06000
1028062-00-A,TSUSHO
1028065-00-C,SH1-00300
1028066-00-C,SH1-00400
1028067-02-A,SH1-00200
1028068-00-B,SH1-00400
1028070-00-C,SH1-00400
1028117-00-A,SU3-06000
1028120-00-B,SU5-11000
1028130-00-B,SU3-11000
1028144-00-A,BW-FT-BOS-BIW1
1028157-90-B,AS-T01-030-W
1028157-90-B,AS-T01-050-W
1028182-00-A,SU3-11000
1028352-E0-A,PN-PR-020-1
1028360-00-A,AS-FL-210-E
1028361-00-B,TP1-10435
1028361-00-B,TP1-40020
1028385-02-A,AS-T02-060-E
1028386-02-A,AS-T02-060-W
1028387-00-E,BM5-01000
1028398-00-E,AS-BK-RT-25
1028400-00-F,CHANGE-GA
1028438-00-G,ST-3A-STACKING
1028540-00-A,AS-T02-070-E
1028549-00-C,AS-T02-070-E
1028646-00-B,AS-T01-010-W
1028650-00-B,BIW-IN
1028652-00-B,AS-T03-070-W
1028652-00-B,BIW-IN
1028652-00-C,BIW-IN
1028665-00-B,AS-T01-040-W
1028665-00-C,CHANGE-GA
1028666-00-E,AS-T02-120-W
1028666-00-E,AS-T03-010-W
1028667-00-B,AS-T01-010-W
1028668-00-B,AS-T03-010-W
1028668-00-C,AS-T03-140-W
1028670-00-B,AS-T03-060-W
1028675-00-C,AS-T01-010-E
1028688-00-F,AS-T02-SA1-2
1028697-00-A,AS-C02-150-E
1028698-00-G,CHANGE-GA
1028701-00-A,AS-FL-120-E
1028702-00-A,AS-FL-120-E
