PRODUCTNO,LOCATION
1021296-00-B,BP3-04100
1036619-00-A,BIW-IN
1038706-00-A,AS-T03-020-W
1038706-00-A,AS-T03-030-E
1011545-00-A,AS-T03-050-E
1003385-02-G,TP1-50030
1013043-00-A,CD1-04500
1014045-00-F,BP4-04004
1048526-00-B,AS-PL-110
1037757-00-A,SC2-00502
1023848-02-A,BM5-01100
1036476-00-A,FS3-06000
1019595-00-A,BM6-16000
1051618-00-A,PT-SM-MO-01
1014252-01-F,BM6-07000-B
1007527-00-B,DT1-50400
1043442-00-A,AS-RF1-020-E
1056910-00-A,SU3-06000
1025794-01-B,TM1-00500-B
1012215-12-C,PL-IMB-XX
1030054-00-D,JB5-00300
1023211-07-B,AS-CP-SEQ
1041190-00-A,ST-SCHULER-STACKING TABLE1
6006600-00-B,ST-3A-STACKING
6006691-00-A,ST-3D-LINESIDE
1043439-00-A,PN-TT-L1-01-1
1026993-00-B,DT1-40100
1014023-00-A,TP1-10060
1017720-00-A,HV9-00400
1015589-00-B,AS-FL-080-W
1053340-00-A,DM1-13000
1033157-00-A,TP1-20230
2007582,SU2-11000
1003919-00-B,PT-RPK-CART
1056787-00-A,SU5-11000
6005879-01-A,AS-C03-050-W
1034262-00-B,AS-RF1-020-E
1021934-00-A,SC2-00600
1042701-00-A,AS-REPAIR
1036288-00-D,TP1-10040
1002536-07-B,PL-IH-SA
1021892-00-A,PT-SM-SC-01
1031957-00-B,AS-T01-080-E
1017046-00-A,SH1-00100
1014022-00-A,TP1-10300
1028702-00-A,AS-FL-120-E
1018190-00-C,BW-AD-S1-01-1
1043443-00-A,AS-RF1-020-E
1023222-01-C,AS-CP-SEQ
1028157-90-B,AS-T01-030-W
1023624-00-B,SU2-03000
6007371-00-A,SU3-05000
1024380-00-A,HV2-00200
1051947-00-A,AS-FL-120-E
6008902-00-A,AS-FL-110-E
1028884-01-E,BIW-IN
1007487-00-A,AS-SF2-030-E
1042391-00-D,CHANGE-GA
1034370-00-D,AS-RF1-020-E
1007441-00-H,AS-FL-200-E
1026041-00-H,AS-CP01-010B
1008905-04-D,PL-IH-SA2
1035749-00-A,SJ1-00100
1011448-00-B,PT-SM-BP-01
1023536-00-A,SU4-12000
1033692-02-A,DM1-15000
1045978-00-C,CH6-03100
1045127-00-B,BP3-10700
6007344-00-F,AS-T02-070-E
1047494-00-A,DM1-45000
1033141-00-A,HV2-00400
1047340-01-B,BP3-22300_RW
1002536-03-B,AS-BK-RT-12
6006516-00-B,AS-T02-010-E
1048886-00-B,AS-RF1-020-E
1031674-00-B,BW-MLN-020S
1028668-00-B,AS-T03-010-W
1048647-00-A,AS-RF1-020-E
1008736-00-A,SU3-04000
1041303-00-A,BP3-15700
1028666-00-E,AS-T02-120-W
1019168-00-A,BP3-22100
1045528-00-C,AS-RF1-020-E
1028675-00-C,AS-T01-010-E
1017665-00-D,PT-SM-BP-01
1017794-00-A,AS-T03-060-W
1034074-00-A,SU4-11000
1020783-00-D,SU4-12000
1008840-00-C,AS-T01-010-W
1005421-00-D,AS-T01-020-E
1009401-00-B,PT-SM-MO-01
1034087-00-A,SU4-12000
1011485-00-C,AS-FT-BOS-GA1
1020226-00-A,AS-C02-110-W
1010598-00-B,ST-3A-TABLE1
6008044-00-E,ST-3D-LINESIDE
1014252-01-F,BM6-07000
1042700-00-B,PT-SM-SC-01
1015604-00-D,BP3-12600
1015604-00-D,BP3-13200
6008087-07-D,AS-T01-140-E
1003406-00-B,TP1-10415-01
1021845-00-D,SC2-00501
1056962-00-A,AS-FL-160-W
1034369-00-D,CHANGE-GA
1034370-00-D,CHANGE-GA
1039998-00-A,AS-RF1-020-E
1005176-00-A,TP1-10435
1006524-00-A,AS-T03-040-E
1038706-00-A,AS-T03-SA1-E
1008334-06-G,PL-IH-SA
1007277-00-A,HV2-00200
1024631-00-B,PL-IH-SA
1018331-00-B,BP3-26100
1017664-00-D,PT-SM-BP-01
1013294-00-A,TP1-10445
1008765-04-B,PL-IH-SA1
1003383-02-H,TP1-50030
1022815-00-E,JB3-00100
1023258-00-C,AS-T03-090-W
1004943-00-B,BP3-22100
1018884-20-D,BP3-09200
1019028-23-E,PT-SM-SC-01
1055688-00-A,BP3-09200
6009185-00-A,TP1-40020
1008905-03-C,PL-IH-SA2
1026809-00-C,SH1-00400
1036865-00-C,AS-T01-010-W
1028667-00-B,AS-T01-SA1-1
1047816-00-B,PT-FG-BM-L20U
6007346-00-D,AS-T02-040-E
1023228-01-E,AS-OF-SEQ
1017199-01-A,SU5-11000
1048527-00-B,AS-PL-110
1038866-01-B,PT-FG-HPC-H24U
1045981-00-A,AS-T01-010-W
1047472-00-D,BP3-22300_RW
1015753-00-A,CHANGE-GA
1004588-00-B,HV2-00400
1006209-11-B,DT1-20100
1037144-00-A,SJ1-00100
1035429-00-A,SU3-11000
1055452-00-A,AS-FL-240-E
1031236-82-E,AS-REPAIR
1034991-00-B,AS-RF1-020-E
1008638-00-B,CD1-01000
1023136-00-C,AS-C02-210-W
1048948-99-D,AS-T03-010-E
1009246-00-D,AS-FL-080-W
1007277-00-A,HV2-00405
1023049-02-B,SH1-00300
1041042-00-A,AS-KT1-140-W
1024686-04-B,PL-IH-SA
1033968-00-B,SU5-11000
1043539-00-B,BP3-12200
1055062-00-A,AS-RF1-020-E
6007084-00-D,AS-BK-RT-25
1028643-00-B,AS-KT1-130-WZ
1031236-81-E,AS-REPAIR
1003368-01-C,HV2-00205
1031042-20-C,BP3-11200
1048523-00-B,AS-PL-110
1048525-00-B,AS-PL-110
1046439-00-B,JB3-00300
1056615-00-A,BP3-01000
1022620-00-G,PT-FG-HVC-F23U
1034356-00-D,AS-RF1-020-E
1021007-00-A,SU2-11000
1030758-00-A,SU5-11000
1033886-00-D,AS-RF1-020-E
1023048-00-D,BW-FT-BOS-BIW1
1022649-00-B,PT-RPK-CART
1037845-00-B,CH6-00100
1032719-00-A,BP4-10000
1016086-00-A,PT-SM-BP-01
6009000-00-C,PT-SM-BP-01
1012610-00-B,AS-FT-BOS-GA4
1045689-00-A,AS-RF1-020-E
1009089-00-A,AS-FL-120-E
1008980-00-B,PT-RPK-CART
1017601-03-A,CH3-03150
1038338-00-A,AS-FL-120-E
1009153-00-C,AS-KT1-140-W
1024686-00-B,PL-IH-SA
1016211-00-D,TM1-20000
1011473-00-A,HV9-00400
1002536-04-B,PL-IH-SA7
1030053-00-D,JB5-00300
1010924-00-A,SU3-11000
1019614-00-A,BW-AD-S1-01-1
1034074-00-A,SU4-12000
